,Name,City,Seat,Party,Polarization,Democratic agreement,Republican agreement
156,"Pierce, T.",Falmouth,H-44,Democratic,-0.6464537437881777,0.9413333333333334,0.24833110814419226
73,"Cooper, J.",Yarmouth,H-47,Democratic,-0.6466266868717333,0.9654510556621881,0.25961538461538464
308,"Warren, S.",Scarborough,H-29,Democratic/Independent,-0.6483451975455123,0.8779527559055118,0.19291338582677164
114,"Hymanson, P.",York,H-4,Democratic,-0.6492486231751059,0.9329829172141918,0.24078947368421053
239,"Hamann, S.",South Portland,H-32,Democratic,-0.6518393149921816,0.9538461538461539,0.25925925925925924
149,"Ordway, L.",Standish,H-23,Republican,0.6518666353493752,0.2107329842931937,0.9423328964613368
118,"Jorgensen, E.",Portland,H-41,Democratic,-0.6522098102008697,0.9662698412698413,0.2504970178926441
121,"Kinney, M.",Knox,H-99,Republican,0.6522862752449768,0.21458625525946703,0.9410112359550562
107,"Hepler, A.",Woolwich,H-53,Democratic,-0.652550212316801,0.9110576923076923,0.21153846153846154
99,"Haggan, D.",Hampden,H-101,Republican,0.653407853213763,0.2138728323699422,0.9551374819102749
132,"Martin, T.",Greene,H-57,Republican,0.6543855240349892,0.2017291066282421,0.930835734870317
132,"Martin, T.",Greene,S-25,Republican,0.6543855240349892,0.2017291066282421,0.930835734870317
154,"Perry, J.",Bangor,H-124,Democratic,-0.6553114137109549,0.9073033707865169,0.2050561797752809
197,"Millett, H.",Waterford,H-71,Republican,0.6556320937931231,0.2052505966587112,0.9307875894988067
50,"Arata, A.",New Gloucester,H-65,Republican,0.6565839577739344,0.19220779220779222,0.9246753246753247
95,"Gideon, S.",Freeport,H-48,Democratic,-0.6571317690136854,0.9816326530612245,0.25357873210633947
233,"Fuller, R.",Lewiston,H-59,Democratic,-0.6572056662103144,0.9701492537313433,0.2694610778443114
27,"Luchini, L.",Hancock,H-132,Democratic,-0.6579504545097183,0.9608391608391609,0.2559774964838256
27,"Luchini, L.",Hancock,S-7,Democratic,-0.6579504545097183,0.9608391608391609,0.2559774964838256
106,"Head, F.",Bethel,H-117,Republican,0.6587024331174248,0.21511627906976744,0.9548762736535662
127,"Lyford, P.",Eddington,H-129,Republican,0.6593154644294045,0.17896174863387979,0.9001367989056087
14,"Farrin, B.",Norridgewock,S-3,Republican,0.6597480195175854,0.23758389261744967,0.9648648648648649
155,"Pickett, R.",Dixfield,H-116,Republican,0.6598931090564636,0.20391061452513967,0.9356643356643357
112,"Hubbell, B.",Bar Harbor,H-135,Democratic,-0.660928771839732,0.9712643678160919,0.2514395393474088
36,"Sanborn, H.",Cumberland,S-28,Democratic,-0.6628012735604343,0.9601542416452442,0.24870466321243523
223,"Bates, D.",Westbrook,H-35,Democratic,-0.6632021979274617,0.9617834394904459,0.25559105431309903
56,"Bailey, D.",York,H-14,Democratic,-0.6634323476490345,0.9540372670807453,0.24094881398252185
56,"Bailey, D.",York,S-31,Democratic,-0.6634323476490345,0.9540372670807453,0.24094881398252185
251,"Monaghan, K.",Cape Elizabeth,H-30,Democratic,-0.6634679866243602,0.9826589595375722,0.263768115942029
165,"Rykerson, D.",Kittery,H-1,Democratic,-0.6636280701354991,0.9542743538767395,0.2345924453280318
246,"Kumiega, W.",Deer Isle,H-134,Democratic,-0.6640279340624848,0.9828080229226361,0.26436781609195403
94,"Gattine, D.",Westbrook,H-34,Democratic,-0.6645485650699698,0.9900398406374502,0.2554890219560878
236,"Golden, J.",Lewiston,H-60,Democratic,-0.664600146435973,0.971875,0.2601880877742947
138,"McCrea, D.",Fort Fairfield,H-148,Democratic,-0.6653509264420533,0.9504447268106735,0.23536895674300254
253,"Parry, W.",Arundel,H-10,Republican,0.6660463742932257,0.211864406779661,0.9507640067911715
143,"Moonen, M.",Portland,H-38,Democratic,-0.6664952872416885,0.9829545454545454,0.24857685009487665
101,"Handy, J.",Lewiston,H-58,Democratic,-0.6670353122946384,0.9601518026565465,0.22813688212927757
202,"Wadsworth, N.",Hiram,H-70,Republican,0.6674568319303199,0.2015810276679842,0.9511873350923483
41,"Timberlake, J.",Androscoggin,H-75,Republican,0.6675060426064058,0.23056994818652848,0.9647519582245431
41,"Timberlake, J.",Androscoggin,S-22,Republican,0.6675060426064058,0.23056994818652848,0.9647519582245431
166,"Sampson, H.",Alfred,H-21,Republican,0.66958348824156,0.19205298013245034,0.9442970822281167
207,"O'Connell, K.",Brewer,H-128,Democratic,-0.6703639122954822,0.898876404494382,0.20224719101123595
88,"Faulkingham, B.",Winter Harbor,H-136,Republican,0.6706285816142462,0.1918158567774936,0.928388746803069
133,"Mason, R.",Lisbon,H-56,Republican,0.6723576609585001,0.196870925684485,0.9490861618798956
203,"Daughtry, M.",Brunswick,H-49,Democratic,-0.6727587408934579,0.9706632653061225,0.23717948717948717
203,"Daughtry, M.",Brunswick,S-24,Democratic,-0.6727587408934579,0.9706632653061225,0.23717948717948717
87,"Farnsworth, R.",Portland,H-37,Democratic,-0.6742463240690145,0.9693486590038314,0.236084452975048
182,"Tipping, R.",Orono,H-123,Democratic,-0.6742520903744981,0.972,0.22845691382765532
318,"Brenner, S.",Cumberland,S-30,Democratic,-0.6752046316184236,0.9823943661971831,0.2491103202846975
152,"Perkins, M.",Oakland,H-77,Republican,0.6756433440641803,0.19143239625167335,0.9477211796246648
8,"Claxton, N.",Androscoggin,S-20,Democratic,-0.676352361253918,0.9673202614379085,0.2356828193832599
69,"Carney, A.",Cape Elizabeth,H-30,Democratic,-0.676967138532499,0.9596602972399151,0.2222222222222222
69,"Carney, A.",Cape Elizabeth,S-29,Democratic,-0.676967138532499,0.9596602972399151,0.2222222222222222
270,"Turner, B.",Burlington,H-141,Republican,0.6775351152058025,0.12380952380952381,0.856687898089172
316,"Boyle, J.",Gorham,H-27,Democratic,-0.6782729802232936,0.9583333333333334,0.2361111111111111
316,"Boyle, J.",Gorham,S-6,Democratic,-0.6782729802232936,0.9583333333333334,0.2361111111111111
196,"McLean, A.",Gorham,H-27,Democratic,-0.6785321291228211,0.980440097799511,0.24019607843137256
147,"O'Connor, B.",Berwick,H-5,Republican,0.6787366491305769,0.18463611859838275,0.9392712550607287
52,"Austin, S.",Gray,H-67,Republican,0.6787558875072706,0.19444444444444445,0.9582806573957017
57,"Beebe-Center, P.",Rockland,H-93,Democratic,-0.679111423419968,0.9591439688715954,0.2222222222222222
188,"White, D.",Mars Hill,H-146,Republican,0.6793661751487016,0.17437252311756934,0.9312169312169312
26,"Lawrence, M.",Eliot,S-35,Democratic,-0.6823329668398938,0.9685264663805436,0.23487031700288186
49,"Andrews, J.",Paris,H-73,Libertarian/Republican,0.6839020351515922,0.1554959785522788,0.8981233243967829
128,"Madigan, C.",Waterville,H-110,Democratic,-0.6844103098713413,0.9619289340101523,0.22363405336721728
80,"Denk, D.",Kennebunk,H-9,Democratic,-0.6845248042811191,0.9757575757575757,0.18787878787878787
180,"Terry, M.",Gorham,H-26,Democratic,-0.6853559297400493,0.9684625492772667,0.22894736842105262
123,"Kryzak, T.",Acton,H-20,Republican,0.6873355302638665,0.17804154302670624,0.9495548961424333
83,"Doore, D.",Augusta,H-85,Democratic,-0.687996761619332,0.9699115044247788,0.22695035460992907
294,"Newman, D.",Belgrade,H-76,Republican,0.6882961678955184,0.15708812260536398,0.896551724137931
60,"Blier, M.",Buxton,H-22,Republican,0.6883800229974333,0.1828978622327791,0.9548693586698337
85,"Dunphy, M.",Old Town,H-122,Democratic,-0.6894330692896996,0.9587096774193549,0.21963824289405684
140,"McDonald, G.",Stonington,H-134,Democratic,-0.690154753103075,0.9340659340659341,0.18681318681318682
315,"Rafferty, J.",York,S-34,Democratic,-0.6908803952969971,0.9722222222222222,0.22807017543859648
67,"Cardone, B.",Bangor,H-127,Democratic,-0.6912162328645896,0.9603580562659847,0.21382842509603073
296,"Poirier, J.",Skowhegan,H-107,Republican,0.6914028978470601,0.17054263565891473,0.9108527131782945
183,"Tucker, R.",Brunswick,H-50,Democratic,-0.6919789213410389,0.9698162729658792,0.21813403416557162
53,"Babbidge, C.",Kennebunk,H-8,Democratic,-0.69340588991912,0.9573643410852714,0.2108667529107374
100,"Hall, R.",Wilton,H-114,Republican,0.6955557146070978,0.1873589164785553,0.9480812641083521
117,"Johansen, C.",Monticello,H-145,Republican,0.6965917753735626,0.13313161875945537,0.8909090909090909
200,"Stover, H.",Boothbay,H-89,Democratic,-0.6980294376082782,0.9457547169811321,0.19103773584905662
71,"Cloutier, K.",Lewiston,H-60,Democratic,-0.6987628786259396,0.933806146572104,0.18439716312056736
159,"Reckitt, L.",South Portland,H-31,Democratic,-0.6990313689660478,0.9523809523809523,0.1947019867549669
72,"Collings, B.",Portland,H-42,Democratic,-0.6997743776956343,0.9575289575289575,0.2036082474226804
185,"Warren, C.",Hallowell,H-84,Democratic,-0.7028988083274345,0.9612903225806452,0.20284237726098192
103,"Hanley, J.",Pittston,H-87,Republican,0.7036365894026311,0.1592797783933518,0.9431345353675451
64,"Bryant, M.",Windham,H-24,Democratic,-0.7048458714307376,0.9681122448979592,0.20561941251596424
150,"Paulhus, S.",Bath,H-52,Democratic,-0.7054977268331165,0.9644268774703557,0.18972332015810275
78,"Cuddy, S.",Winterport,H-98,Democratic,-0.7064367517361035,0.9376623376623376,0.18701298701298702
148,"O'Neil, M.",Saco,H-15,Democratic,-0.7098481042669043,0.9634941329856584,0.19843342036553524
65,"Caiazzo, C.",Scarborough,H-28,Democratic,-0.7102794568517179,0.9397590361445783,0.18313253012048192
177,"Sylvester, M.",Portland,H-39,Democratic,-0.7110944377627896,0.9592123769338959,0.19154929577464788
58,"Berry, S.",Bowdoinham,H-55,Democratic,-0.7113535213426619,0.970360824742268,0.19741935483870968
58,"Berry, S.",Bowdoinham,H-67,Democratic,-0.7113535213426619,0.970360824742268,0.19741935483870968
178,"Talbot Ross, R.",Portland,H-40,Democratic,-0.7115982709575142,0.9638709677419355,0.19767441860465115
39,"Sanborn, L.",Cumberland,H-130,Democratic,-0.7123375754982509,0.9880239520958084,0.2
84,"Drinkwater, G.",Milford,H-121,Republican,0.7128920142900265,0.16037735849056603,0.9504716981132075
179,"Tepler, D.",Topsham,H-54,Democratic,-0.7130638556705541,0.975609756097561,0.20051413881748073
61,"Blume, L.",York,H-3,Democratic,-0.7136922142833599,0.9676985195154778,0.192722371967655
189,"Zeigler, S.",Montville,H-96,Democratic,-0.7154208839995596,0.9677002583979328,0.19146183699870634
141,"Melaragno, G.",Auburn,H-62,Democratic,-0.7170820202658315,0.9696586599241467,0.1911392405063291
139,"McCreight, J.",Harpswell,H-51,Democratic,-0.718973086705956,0.9847522236340533,0.1984732824427481
116,"Javner, K.",Chester,H-141,Republican,0.7192809249326635,0.15342465753424658,0.9616438356164384
145,"Morris, J.",Turner,H-75,Republican,0.7194379248976729,0.16400911161731208,0.9612756264236902
199,"Stetkis, J.",Canaan,H-105,Republican,0.7197584922898249,0.13870541611624834,0.9312169312169312
98,"Grohoski, N.",Ellsworth,H-132,Democratic,-0.7232541202344356,0.9369158878504673,0.15186915887850466
98,"Grohoski, N.",Ellsworth,S-7,Democratic,-0.7232541202344356,0.9369158878504673,0.15186915887850466
190,"Brooks, H.",Lewiston,H-61,Democratic,-0.7304868811331862,0.9797191887675507,0.190625
193,"Dolloff, J.",Milton Township,H-115,Republican,0.7305952811449539,0.15,0.9611111111111111
113,"Hutchins, S.",Penobscot,H-131,Republican,0.7321057932833187,0.1362530413625304,0.927007299270073
168,"Sharpe, B.",Durham,H-46,Democratic,-0.7359271342870864,0.9747899159663865,0.15126050420168066
76,"Craven, M.",Lewiston,H-59,Democratic,-0.7360356765882546,0.9651972157772621,0.16705336426914152
198,"Pebworth, S.",Blue Hill,H-133,Democratic,-0.7360736492313589,0.9474885844748858,0.15296803652968036
77,"Crockett, W.",Portland,H-43,Democratic,-0.7364218852755267,0.9549763033175356,0.15402843601895735
120,"Kessler, C.",South Portland,H-32,Democratic,-0.7380642933421862,0.9508196721311475,0.14988290398126464
75,"Costain, D.",Plymouth,H-100,Republican,0.7380873427966564,0.15064935064935064,0.9662337662337662
306,"Tuttle, J.",Sanford,H-143,Democratic,-0.7415628354275099,0.8993288590604027,0.14093959731543623
306,"Tuttle, J.",Sanford,H-18,Democratic,-0.7415628354275099,0.8993288590604027,0.14093959731543623
306,"Tuttle, J.",Sanford,S-3,Democratic,-0.7415628354275099,0.8993288590604027,0.14093959731543623
288,"Hasenfus, T.",Readfield,H-81,Democratic,-0.7421716235147152,0.9351145038167938,0.14885496183206107
63,"Brennan, M.",Portland,H-36,Democratic,-0.7446139090589189,0.9713603818615751,0.15513126491646778
142,"Meyer, M.",Eliot,H-2,Democratic,-0.7450601798095593,0.9659090909090909,0.16136363636363638
194,"Doudera, V.",Camden,H-94,Democratic,-0.7453082944636629,0.9743589743589743,0.1585081585081585
277,"Collamore, A.",Pittsfield,H-106,Republican,0.7455537522899005,0.14396887159533073,0.9416342412451362
317,"LaRochelle, R.",Augusta,H-86,Democratic,-0.7468544030659923,1.0,0.19718309859154928
281,"Downes, K.",Bucksport,H-130,Republican,0.7498225191409663,0.14393939393939395,0.946969696969697
135,"Matlack, A.",St. George,H-92,Democratic,-0.7500460469099375,0.9725400457665904,0.15331807780320367
104,"Harnett, T.",Gardiner,H-83,Democratic,-0.752248702013981,0.9659863945578231,0.14965986394557823
93,"Foster, S.",Dexter,H-104,Republican,0.7534485547927207,0.12413793103448276,0.9632183908045977
163,"Roberts, T.",South Berwick,H-6,Democratic,-0.755852667238372,0.9744245524296675,0.1432225063938619
97,"Griffin, A.",Levant,H-102,Republican,0.7561859843538717,0.1295843520782396,0.980440097799511
96,"Gramlich, L.",Old Orchard Beach,H-13,Democratic,-0.7617824228594117,0.9626168224299065,0.1261682242990654
164,"Rudnicki, S.",Fairfield,H-108,Republican,0.7665891732928861,0.107981220657277,0.9553990610328639
272,"Bailey, K.",Gorham,H-27,Democratic,-0.7676851633812422,0.9298245614035088,0.11695906432748537
82,"Dodge, J.",Belfast,H-97,Democratic,-0.7722808001137356,0.9819819819819819,0.13288288288288289
297,"Quint, T.",Hodgdon,H-144,Republican,0.7746137160283312,0.1062992125984252,0.9291338582677166
292,"Lyman, S.",Livermore Falls,H-74,Republican,0.7759320482635261,0.12062256809338522,0.9649805447470817
144,"Morales, V.",South Portland,H-33,Democratic,-0.7788629256121229,0.9863325740318907,0.12984054669703873
305,"Thorne, J.",Carmel,H-103,Republican,0.783927890013419,0.11877394636015326,0.9655172413793104
278,"Connor, J.",Lewiston,H-58,Republican,0.7848588237089436,0.1062992125984252,0.9606299212598425
276,"Carmichael, M.",Greenbush,H-137,Republican,0.7866909295048052,0.0967741935483871,0.9516129032258065
283,"Evans, R.",Dover-Foxcroft,H-120,Democratic,-0.7888575308903923,0.9619771863117871,0.12927756653992395
282,"Ducharme, J.",Madison,H-111,Republican,0.7900009331528998,0.10775862068965517,0.9612068965517241
271,"Arford, P.",Brunswick,H-49,Democratic,-0.7952777304437585,0.9696969696969697,0.12121212121212122
290,"Libby, L.",Auburn,H-64,Republican,0.797171397409407,0.08139534883720931,0.9418604651162791
274,"Bernard, S.",Caribou,H-149,Republican,0.8026667695864469,0.10126582278481013,0.9746835443037974
309,"Williams, L.",Bar Harbor,H-135,Democratic,-0.8031549566206234,0.9598393574297188,0.10441767068273092
307,"Underwood, J.",Presque Isle,H-147,Republican,0.8097786775885895,0.07569721115537849,0.9442231075697212
280,"Crafts, L.",Newcastle,H-90,Democratic,-0.8100732201553613,0.9847328244274809,0.11450381679389313
301,"Sachs, M.",Freeport,H-48,Democratic,-0.8117327863095694,0.9809160305343512,0.11068702290076336
300,"Roeder, A.",Bangor,H-125,Democratic,-0.8138355561329312,0.984375,0.109375
293,"Mathieson, K.",Kittery,H-1,Democratic,-0.8146370016658461,0.9796747967479674,0.11382113821138211
310,"Wood, B.",Portland,H-38,Democratic,-0.8150036539242158,0.9688715953307393,0.10116731517509728
304,"Supica, L.",Bangor,H-126,Democratic,-0.81521045464661,0.9705882352941176,0.10504201680672269
284,"Geiger, V.",Rockland,H-93,Democratic,-0.8156608585093993,0.9704641350210971,0.0970464135021097
279,"Copeland, L.",Saco,H-14,Democratic,-0.816394676874865,0.9758064516129032,0.10080645161290322
287,"Greenwood, R.",Wales,H-82,Republican,0.8171467718363511,0.08365019011406843,0.9619771863117871
289,"Lemelin, M.",Chelsea,H-88,Republican,0.81944982344467,0.08527131782945736,0.9767441860465116
303,"Sheehan, E.",Biddeford,H-12,Democratic,-0.8199368428645059,0.9885496183206107,0.11068702290076336
285,"Gere, T.",Kennebunkport,H-9,Democratic,-0.8234713992220093,0.9884169884169884,0.10424710424710425
302,"Salisbury, S.",Westbrook,H-35,Democratic,-0.8244875980900221,0.9803149606299213,0.09448818897637795
311,"Zager, S.",Portland,H-41,Democratic,-0.8253632046664913,0.9809885931558935,0.09505703422053231
298,"Rielly, M.",Westbrook,H-34,Democratic,-0.828353484223527,0.9809885931558935,0.09505703422053231
295,"Osher, L.",Orono,H-123,Democratic,-0.8289687728890693,0.98046875,0.09375
291,"Lookner, G.",Portland,H-37,Democratic,-0.8317954207664701,0.9763779527559056,0.07480314960629922
286,"Gifford, J.",Lincoln,H-12,Republican,0.833944769076679,0.05194805194805195,0.9523809523809523
286,"Gifford, J.",Lincoln,H-142,Republican,0.833944769076679,0.05194805194805195,0.9523809523809523
273,"Bell, A.",Yarmouth,H-47,Democratic,-0.8362753011239574,0.9810606060606061,0.08712121212121213
